Key	Speaker Name	Dialog	Portrait ID	Side	Style
re7	Ace	You got a real simplistic idea of humans.	ace_neutral	Left	NONE
re7	Roane	I do, apparently. I’m sorry for that.	roane_neutral	Right	NONE
re7	Roane	And I’m sorry that you experienced that kind of unkindness from people.	roane_neutral	Right	NONE
re7	Roane	And I’m sorry that you’re here now. It doesn’t seem fair that you would have to go through all of that and feel unsafe only to end up here in Hell.	roane_neutral	Right	NONE
re7	Ace	I ain’t as good a person as you think, Roane.	ace_neutral	Left	NONE
re7	Roane	You keep saying that, but I just don’t think it’s true.	roane_neutral	Right	NONE
re7	Roane	You take time to talk to me, even though it’s obvious that there’s something really painful going on beneath the surface.	roane_neutral	Right	NONE
re7	Ace	You don’t-	ace_neutral	Left	NONE
re7	Roane	I’m not going to make you tell me now, but… I hope that one day I can prove to you that I’m trustworthy enough for you to tell me.	roane_neutral	Right	NONE
re7	Roane	You can go.	roane_neutral	Right	NONE
					
re8	Roane	Ace, I’m really sorry I was so intense last time. I hope it wasn’t uncomfortable.	roane_neutral	Right	NONE
re8	Ace	...	ace_neutral	Left	NONE
re8	Ace	I planned to kill someone.	ace_neutral	Left	NONE
re8	Roane	...	roane_neutral	Right	NONE
re8	Roane	What?	roane_neutral	Right	NONE
re8	Ace	Back in my town, there was this big business guy who liked makin’ these dirty deals.	ace_neutral	Left	NONE
re8	Ace	He had an entourage and he loved to loan his money almost as much as he loved to collect on those debts.	ace_neutral	Left	NONE
re8	Ace	And I got tired of it.	ace_neutral	Left	NONE
re8	Ace	That man got my friend killed in a gun fight. He got lots of people killed for him.	ace_neutral	Left	NONE
re8	Ace	And I was going to end it all.	ace_neutral	Left	NONE
re8	Ace	We were on a trolley in town.	ace_neutral	Left	NONE
re8	Ace	I was going to end him, but then something happened. I don’t know what.	ace_neutral	Left	NONE
re8	Ace	I just remember all of us on the trolley went flying…	ace_neutral	Left	NONE
re8	Ace	And then I woke up here.	ace_neutral	Left	NONE
re8	Ace	So if you want to know why I’m here, it’s because I was a wannabe murderer.	ace_neutral	Left	NONE
re8	Ace	And if I could go back in time and finish the job… I would.	ace_neutral	Left	NONE
re8	Roane	…	roane_neutral	Right	NONE
re8	Ace	I gotta go.	ace_neutral	Left	NONE
					
re9	Roane	Ace.	roane_neutral	Right	NONE
re9	Ace	Roane.	ace_neutral	Left	NONE
re9	Roane	…	roane_neutral	Right	NONE
re9	Ace	…	ace_neutral	Left	NONE
re9	Ace	Well one of us gotta say somethin’.	ace_neutral	Left	NONE
re9	Roane	You’re right.	roane_neutral	Right	NONE
re9	Roane	I just feel like endlessly telling you how sorry I am isn’t enough.	roane_neutral	Right	NONE
re9	Roane	But I am.	roane_neutral	Right	NONE
re9	Roane	I’m so sorry that life on Earth was the way it was.	roane_neutral	Right	NONE
re9	Ace	Hey, it ain’t all bad.	ace_neutral	Left	NONE
re9	Ace	You saw. I loved playin’ cards with my friends.	ace_neutral	Left	NONE
re9	Ace	Cards was my way of gettin’ through to other people.	ace_neutral	Left	NONE
re9	Ace	So that must be why when you pulled my soul out it turned into these.	ace_neutral	Left	NONE
re9	Ace	Earth ain’t a bad place. It got its perks like any place does, and it got its cons too.	ace_neutral	Left	NONE
re9	Ace	And sometimes those cons are real cons.	ace_neutral	Left	NONE
re9	Roane	Haha, I actually got that one.	roane_neutral	Right	NONE
re9	Ace	What I’m sayin’ is, it wasn’t perfect, but it ain’t a horrible place.	ace_neutral	Left	NONE
re9	Ace	I know this place is supposed to be, well, hell, but even I can see some beauty here. I’m sure you do since you lived here all your life.	ace_neutral	Left	NONE
re9	Roane	Well, that won’t stop me from trying to make things better for you.	roane_neutral	Right	NONE
re9	Ace	Hah. I appreciate it, partner.	ace_neutral	Left	NONE
					
re10	Roane	When you get to Heaven, what do you think you’ll do?	roane_neutral	Right	NONE
re10	Ace	I don’t know. What’s it even like up there?	ace_neutral	Left	NONE
re10	Roane	I don’t know either.	roane_neutral	Right	NONE
re10	Ace	You’ve never been?	ace_neutral	Left	NONE
re10	Roane	No. Only a few demons and angels get to traverse back and forth from Heaven and Hell, and only when they’re doing official business. I’m not that high on the ladder.	roane_neutral	Right	NONE
re10	Ace	Well how the hell am I supposed to decide what I’m doing with the rest of my undead life if you can’t even tell me what it’s like?	ace_neutral	Left	NONE
re10	Roane	I don’t know, just make something up!	roane_neutral	Right	NONE
re10	Ace	Fine. Gimme a while to think on it.	ace_neutral	Left	NONE
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
ce1	Coyote	(A spectral form in the shape of a coyote stands in front of you. It looks so lifelike you forget for a moment that you’ve died.)	coyote_neutral	Right	NONE
ce1	Coyote	(It stares at you from a few feet away, questioning if it should come closer.)	coyote_neutral	Right	NONE
ce1	Coyote	(It sniffs the air.)	coyote_neutral	Right	NONE
ce1	Coyote	(It steps back, glaring for a moment, then runs away into the foliage nearby.)	coyote_neutral	Right	NONE
ce1	Ace	What did I do? You came up to me.	ace_neutral	Left	NONE
ce1	Coyote	(Its glare isn’t improved by your anger.)	coyote_neutral	Right	NONE
ce1	Ace	If I smell bad, maybe consider that everythin’ down here smells bad. It’s hell. Ain’t much I can do about it.	ace_neutral	Left	NONE
ce1	Coyote	(It leaves, leaving you alone again.)	coyote_neutral	Right	NONE
ce1	Coyote	(Somehow, letting off some steam by yelling at the coyote makes you feel better, you feel like you can let something go.)	coyote_neutral	Right	NONE
					
ce2	Coyote	(The spirit stares at you. It sits several feet away from you.)	coyote_neutral	Right	NONE
ce2	Ace	This again.	ace_neutral	Left	NONE
ce2	Ace	What? What do you want?	ace_neutral	Left	NONE
ce2	Coyote	(It stomps the ground just once, then continues to sit still.)	coyote_neutral	Right	NONE
ce2	Ace	(You feel compelled to get down to eye level with it. You put one knee to the ground.)	ace_neutral	Left	NONE
ce2	Coyote	(Its stare is piercing. You can see your reflection deep in its eyes as it approaches.)	coyote_neutral	Right	NONE
ce2	Coyote	(Looking at yourself, you feel uneasy. It’s still you. Nothing has changed. You expected to look in much worse repair, but somehow still looking like yourself doesn’t ease your heart.)	coyote_neutral	Right	NONE
ce2	Ace	(You see the creases on your face. The anger in your own eyes reflected back at you.)	ace_neutral	Left	NONE
ce2	Ace	(It feels like the anger is eating away at you like acid.)	ace_neutral	Left	NONE
ce2	Ace	(You’re angry at the world. You’re angry at yourself for not being stronger. You’re angry you died.)	ace_neutral	Left	NONE
ce2	Ace	(And you’re sad.)	ace_neutral	Left	NONE
ce2	Ace	(And now you’re crying.)	ace_neutral	Left	NONE
ce2	Coyote	(The coyote finally stops in front of you. It places its chin on your raised knee.)	coyote_neutral	Right	NONE
ce2	Ace	(You pull the coyote close, holding it as you cry.)	ace_neutral	Left	NONE
ce2	Ace	(Letting yourself feel your emotions has made you feel lighter. When you finally get up, you pet the coyote on the head and head off ready to face what’s to come.)	ace_neutral	Left	NONE
					
ce3	Ace	Hey there, you.	ace_neutral	Left	NONE
ce3	Coyote	(The coyote sniffs the air around you as it approaches, circling you.)	coyote_neutral	Right	NONE
ce3	Ace	(You kneel down.)	ace_neutral	Left	NONE
ce3	Ace	Thank you for before, friend. I guess I really needed a cry.	ace_neutral	Left	NONE
ce3	Coyote	YIP!	coyote_neutral	Right	NONE
ce3	Coyote	(It rubs up against you as it circles you joyously.)	coyote_neutral	Right	NONE
ce3	Ace	Strange to see such a friendly animal down here. But I’m glad I get a little peace and quiet.	ace_neutral	Left	NONE
ce3	Ace	I think that maybe it’s hard to carry all these feelins.	ace_neutral	Left	NONE
ce3	Ace	I wanted more outta my life.	ace_neutral	Left	NONE
ce3	Ace	Even when I knew it was gonna end, I had hope that somehow I’d make it through. Maybe fall in love, maybe dance and drink and gamble some more.	ace_neutral	Left	NONE
ce3	Ace	Man, I miss cards. Playin them I mean, not… fightin with em.	ace_neutral	Left	NONE
ce3	Coyote	(The coyote sits and listens intently.)	coyote_neutral	Right	NONE
ce3	Ace	But I ain’t gettin it back. This is what I got now. I got you, I got Roane, and I got this fight ahead of me.	ace_neutral	Left	NONE
ce3	Ace	(You feel a weight lift off of your shoulders. You’re ready to continue.)	ace_neutral	Left	NONE
					
ae1	Anne	(There’s a spirit in this room. A young girl in tattered dress attire.)	anne_neutral	Right	NONE
ae1	Anne	Oh! I didn’t see you there. Wow, you look strangely… concrete for someone down. You must have all your memories from when you were alive.	anne_neutral	Right	NONE
ae1	Ace	Maybe.	ace_neutral	Left	NONE
ae1	Anne	I’ve seen a few other spirits that have more form than I do. I want to get a more solid body like them.	anne_neutral	Right	NONE
ae1	Anne	Hey, do you think you could give me a hand?	anne_neutral	Right	NONE
ae1	Anne	I know it’s hell and all. For all I know you’re some serial killer or bank robber or just a really mean person who probably doesn’t want to help me.	anne_neutral	Right	NONE
ae1	Anne	And for all YOU know I might actually be the super dangerous one.	anne_neutral	Right	NONE
ae1	Anne	And I would say, hey, that makes two of us who know nothing about me.	anne_neutral	Right	NONE
ae1	Anne	So, help a gal out?	anne_neutral	Right	NONE
ae1	Ace	What’s in it for me? Don’t you think someone in hell might be the kind of person to want compensation?	ace_neutral	Left	NONE
ae1	Anne	Hm.	anne_neutral	Right	NONE
ae1	Anne	Well, there isn’t real money down here as far as I know, and I can’t pick stuff up currently, so… Maybe I can give you something after you help me?	anne_neutral	Right	NONE
ae1	Ace	Sure, I’ll take it.	ace_neutral	Left	NONE
ae1	Anne	Okay great!	anne_neutral	Right	NONE
ae1	Anne	Hm, I feel kinda hazy right now, how about you come back later. We’ll talk then.	anne_neutral	Right	NONE
ae1	Anne	(As she vanishes, two cards fall to the ground.)	anne_neutral	Right	NONE
					
ae2	Anne	You came back!	anne_neutral	Right	NONE
ae2	Ace	Yup.	ace_neutral	Left	NONE
ae2	Anne	Okay, I did some research. We just need to sit here and hold hands.	anne_neutral	Right	NONE
ae2	Ace	…	ace_neutral	Left	NONE
ae2	Ace	Not happening.	ace_neutral	Left	NONE
ae2	Anne	No! Trust me. Come on, just sit down.	anne_neutral	Right	NONE
ae2	Anne	(The two of you sit down cross-legged in front of each other and you hold out your hands. Her hands are passing through yours, which is supposedly holding hands in a way.)	anne_neutral	Right	NONE
ae2	Anne	Now close your eyes. We’re going back into my mind. You’re going to have to guide me through my head.	anne_neutral	Right	NONE
ae2	Ace	(Suddenly, your eyes are open, yet not open.)	ace_neutral	Left	NONE
ae2	Anne	(It’s like you’re lucid dreaming. You and Anne, who is now in full human form, are sitting across from you at an old wooden desk. There are stacks of files in front of you.)	anne_neutral	Right	NONE
ae2	Anne	(Each file is labeled with what the file contains. Embarrassing secrets, the entire history of Anne’s bowel movements, every sneeze, every yawn, it’s all cataloged. Most of it you don’t even bother to look at.)	anne_neutral	Right	NONE
ae2	Anne	(The two of you spend a lot of time desperately sifting to find something relevant.)	anne_neutral	Right	NONE
ae2	Ace	(Then you see it.)	ace_neutral	Left	NONE
ae2	Anne	Hey, did you find something? I found my birth records!	anne_neutral	Right	NONE
ae2	Ace	(You hesitate, then pass the file over. It’s labeled “Mob affiliation and subsequent death”.)	ace_neutral	Left	NONE
ae2	Anne	(You watch as Anne pours over the files and pages. When she’s finally read enough, she gets up and sits a bit away from you in the black void.)	anne_neutral	Right	NONE
ae2	Ace	(You walk over and sit down next to her.)	ace_neutral	Left	NONE
ae2	Anne	I was a rich girl who ran away from home.	anne_neutral	Right	NONE
ae2	Anne	And I didn’t have any money… but I had friends… and I gambled… and I drank… and I danced…	anne_neutral	Right	NONE
ae2	Anne	I guess at some point the money I had ran dry. I was in debt and needed to do something to make quick money.	anne_neutral	Right	NONE
ae2	Anne	I didn’t want to sell myself, so I dressed up as a man and started working for the mob.	anne_neutral	Right	NONE
ae2	Anne	I did… horrible things for them… why did I do any of that? Why was money ever that important?	anne_neutral	Right	NONE
ae2	Anne	Why didn’t I just lean on my friends?	anne_neutral	Right	NONE
ae2	Anne	(She starts sobbing.)	anne_neutral	Right	NONE
ae2	Anne	I killed people. I hurt people. For WHAT?	anne_neutral	Right	NONE
ae2	Anne	And all of it just to die in a shoot out. Why? Why did I have to do that?	anne_neutral	Right	NONE
ae2	Anne	(She’s shaking and crying.)	anne_neutral	Right	NONE
ae2	Anne	I get it now. Why I’m down here.	anne_neutral	Right	NONE
ae2	Anne	I… I deserve this.	anne_neutral	Right	NONE
ae2	Ace	(You don’t say anything. You don’t know what to say.)	ace_neutral	Left	NONE
ae2	Ace	(A small part of you wishes you could say she didn't deserve this, but you can't find it in you to say anything.)	ace_neutral	Left	NONE
ae2	Anne	(When you finally awaken from the trance, Anne is sitting in front of you, holding your hands. She quickly bolts up and away from you without another word.)	anne_neutral	Right	NONE
ae2	Ace	(Two cards are laying on the ground.)	ace_neutral	Left	NONE
					
ae3	Anne	(She’s back, pacing back and forth.)	anne_neutral	Right	NONE
ae3	Anne	Oh. I didn’t think I would see you again.	anne_neutral	Right	NONE
ae3	Anne	But then again, maybe you came back because you did something way worse than me and I don’t scare you.	anne_neutral	Right	NONE
ae3	Ace	Oh no. You’re definitely worse than me.	ace_neutral	Left	NONE
ae3	Anne	(She looks stunned and uncomfortable.)	anne_neutral	Right	NONE
ae3	Anne	Huh. I guess that’s fair.	anne_neutral	Right	NONE
ae3	Ace	I tried to kill someone. I didn’t end up doing it though.	ace_neutral	Left	NONE
ae3	Anne	Oh. And you got down here for that?	anne_neutral	Right	NONE
ae3	Ace	Who knows. Could’ve been anything. I’m not dwelling on it.	ace_neutral	Left	NONE
ae3	Ace	There’s nothin I can do now.	ace_neutral	Left	NONE
ae3	Anne	But don’t you feel miserable?	anne_neutral	Right	NONE
ae3	Ace	Sure. I do feel miserable that I’m dead. Not particularly about the attempted murderin though.	ace_neutral	Left	NONE
ae3	Anne	But why?	anne_neutral	Right	NONE
ae3	Ace	The guy deserved it.	ace_neutral	Left	NONE
ae3	Anne	Well I’m sorry I can’t be as relaxed as you! I was a genuinely bad person.	anne_neutral	Right	NONE
ae3	Ace	Yeah, you were at one point. You were also a desperate person someone preyed on.	ace_neutral	Left	NONE
ae3	Ace	And before all that you were someone else entirely.	ace_neutral	Left	NONE
ae3	Anne	That doesn’t excuse anything I did.	anne_neutral	Right	NONE
ae3	Ace	No. It don’t.	ace_neutral	Left	NONE
ae3	Ace	And I ain’t tellin you to not feel bad about it, but maybe also try to remember who you were before that.	ace_neutral	Left	NONE
ae3	Ace	Hell ain’t exactly a great place to start your life for eternity over in, but…	ace_neutral	Left	NONE
ae3	Ace	In a way, you got a second chance here to do somethin else.	ace_neutral	Left	NONE
ae3	Anne	I guess you’re right.	anne_neutral	Right	NONE
ae3	Anne	I just don’t know what to do with myself.	anne_neutral	Right	NONE
ae3	Anne	I was so desperate to find the answer to why I was down here because I thought maybe I would find out that secretly… I wasn’t supposed to be here.	anne_neutral	Right	NONE
ae3	Anne	But I guess none of that matters. Belong here, don’t belong here, I’m here now and that’s what matters.	anne_neutral	Right	NONE
ae3	Anne	So I guess, I’ll have to figure it out from here.	anne_neutral	Right	NONE
ae3	Anne	I just wish I could say sorry to my friends. I abandoned them when I should’ve just told them what was happening.	anne_neutral	Right	NONE
ae3	Anne	I was so scared they’d tell me to go back to my family and my arranged marriage… but none of them were the type.	anne_neutral	Right	NONE
ae3	Anne	I would give anything to remember their faces…	anne_neutral	Right	NONE
ae3	Ace	…	ace_neutral	Left	NONE
ae3	Anne	Thank you, Ace. I’ll find my way from here.	anne_neutral	Right	NONE
ae3	Ace	Take care, Anne.	ace_neutral	Left	NONE
ae3	Anne	(As she vanishes, two cards fall to the ground.)	anne_neutral	Right	NONE
					
boss1start	Gator	Well, well, well, what do we have here?	gator_neutral	Right	NONE
boss1start	Gator	A soul lost in the wilds.	gator_neutral	Right	NONE
boss1start	Gator	You ain't supposed to be all the way out here.	gator_neutral	Right	NONE
boss1start	Ace	Not like I asked for it.	ace_neutral	Left	NONE
boss1start	Gator	Don't worry, lost soul. Even out here, we can manage some torture for you.	gator_neutral	Right	NONE
boss1start	Gator	And if you got to thinkin' you could get outta this place through the border, don't bother.	gator_neutral	Right	NONE
boss1start	Gator	You ain't ever gettin' out of here.	gator_neutral	Right	NONE
					
boss1end	Gator	(Gator collapses, gasping)	gator_neutral	Right	NONE
boss1end	Gator	Damn lost soul... Where'd you get that weapon?	gator_neutral	Right	NONE
boss1end	Gator	Fine... I may not be able to defeat you, but out there? You won't make it far.	gator_neutral	Right	NONE
